iter	Passed	Remaining
332	4734	9483
333	4748	9467
334	4759	9448
335	4771	9429
336	4782	9409
337	4795	9392
338	4808	9376
339	4824	9364
340	4850	9374
341	4862	9355
342	4876	9341
343	4890	9325
344	4906	9316
345	4926	9311
346	4942	9301
347	4960	9293
348	4976	9282
349	4994	9274
350	5006	9257
351	5020	9243
352	5033	9225
353	5044	9205
354	5056	9187
355	5069	9169
356	5082	9154
357	5096	9139
358	5108	9120
359	5120	9103
360	5132	9084
361	5143	9064
362	5154	9044
363	5171	9035
364	5185	9021
365	5195	9000
366	5205	8978
367	5217	8960
368	5228	8940
369	5237	8917
370	5250	8901
371	5266	8890
372	5280	8876
373	5295	8863
374	5318	8864
375	5339	8860
376	5355	8850
377	5372	8840
378	5389	8830
379	5402	8814
380	5411	8791
381	5427	8780
382	5440	8764
383	5453	8748
384	5464	8728
385	5477	8712
386	5490	8696
387	5503	8681
388	5549	8716
389	5567	8707
390	5598	8719
391	5618	8714
392	5636	8706
393	5663	8711
394	5682	8703
395	5696	8687
396	5705	8666
397	5718	8650
398	5731	8633
399	5742	8614
400	5754	8595
401	5767	8580
402	5779	8561
403	5789	8540
404	5799	8520
405	5811	8503
